question,answer,fiscal_year,source
What was Consolidated Revenue in FY2022-23?,"₹9,74,864 crore.",FY2022-23,https://www.ril.com/ar2022-23/financial-performance-and-review.html
What was Consolidated EBITDA in FY2022-23?,"₹1,53,920 crore.",FY2022-23,https://www.ril.com/ar2022-23/financial-performance-and-review.html
What was Profit After Tax (PAT) in FY2022-23?,"₹73,670 crore.",FY2022-23,https://www.ril.com/ar2022-23/financial-performance-and-review.html
What was RIL’s standalone revenue in FY2022-23?,"₹5,65,347 crore.",FY2022-23,https://www.ril.com/ar2022-23/financial-performance-and-review.html
What was RIL’s standalone PAT in FY2022-23?,"₹43,017 crore.",FY2022-23,https://www.ril.com/ar2022-23/financial-performance-and-review.html
Which segment led EBITDA growth in FY2022-23?,Retail business led with 44.7% EBITDA growth.,FY2022-23,https://www.ril.com/ar2022-23/financial-performance-and-review.html
How much did consolidated revenue grow YoY in FY2022-23?,Up 23.6% YoY.,FY2022-23,https://www.ril.com/ar2022-23/financial-performance-and-review.html
How much did consolidated EBITDA grow YoY in FY2022-23?,Up 24.4% YoY.,FY2022-23,https://www.ril.com/ar2022-23/financial-performance-and-review.html
What drove O2C segment EBITDA in FY2022-23?,Improved transportation fuel cracks and robust demand; partly offset by SAED.,FY2022-23,https://www.ril.com/ar2022-23/financial-performance-and-review.html
What was the return on capital employed (ROCE) in FY2022-23?,20.6%.,FY2022-23,https://www.ril.com/ar2022-23/financial-performance-and-review.html
What was the return on net worth (RONW) in FY2022-23?,10.9%.,FY2022-23,https://www.ril.com/ar2022-23/financial-performance-and-review.html
What was total throughput for O2C in FY2023-24?,78.2 MMT.,FY2023-24,https://www.ril.com/ar2023-24/index.html
What was O2C production meant for sale in FY2023-24?,67.8 MMT.,FY2023-24,https://www.ril.com/ar2023-24/index.html
Did all segments contribute positively to earnings growth in FY2023-24?,"Yes, all segments contributed positively to earnings growth.",FY2023-24,https://www.ril.com/ar2023-24/index.html
By what percentage did PAT grow in FY2023-24?,Up 7.3% year-on-year.,FY2023-24,https://www.ril.com/ar2023-24/index.html
What was EPS reported for FY2023-24?,₹102.9.,FY2023-24,https://www.ril.com/ar2023-24/index.html
How much did consolidated revenue increase from FY2022-23 to FY2023-24?,"Increase of ₹25,258 crore (from ₹9,74,864 cr to ₹10,00,122 cr).",Comparison FY23→FY24,https://www.ril.com/ar2023-24/index.html
"Which had higher PAT, FY2022-23 or FY2023-24?","FY2023-24 with ₹79,020 crore vs ₹73,670 crore in FY2022-23.",Comparison FY23→FY24,https://www.ril.com/ar2023-24/index.html
What is the capital of France?,Not relevant to RIL financial statements; out of scope.,N/A,N/A
Who won the FIFA World Cup in 2018?,Not relevant to RIL financial statements; out of scope.,N/A,N/A
How many registered customers did Retail report (FY2023-24 snapshot)?,> 300 million registered customers (site shows '>0 Million' placeholder visually; refer detailed retail section for exact).,FY2023-24,https://www.ril.com/ar2023-24/index.html
How many stores are in the retail network (FY2023-24 snapshot)?,The IAR highlights Reliance as India’s largest retailer; store counts are detailed in the Retail section.,FY2023-24,https://www.ril.com/ar2023-24/index.html
Did Digital Services complete its planned True5G rollout by FY2023-24?,"Yes, Jio completed True5G rollout across India.",FY2023-24,https://www.ril.com/ar2023-24/index.html
What was RIL’s contribution to employee benefits in the FY2023-24 Value Added Statement?,"Detailed split is provided in the Value Added Statement; total value added ₹3,94,020 crore.",FY2023-24,https://www.ril.com/ar2023-24/index.html
What was the total value added in FY2023-24?,"₹3,94,020 crore.",FY2023-24,https://www.ril.com/ar2023-24/index.html
What was the total value added in FY2022-23?,"₹3,57,668 crore.",FY2022-23,https://www.ril.com/ar2022-23/financial-performance-and-review.html
What currency are the financial figures reported in?,Indian Rupees (₹ crore) unless otherwise noted.,FY2023-24,https://www.ril.com/ar2023-24/index.html
What is the fiscal year-end for Reliance Industries?,March 31.,General,https://www.ril.com/ar2023-24/index.html
What is the YoY change in consolidated revenue from FY2022-23 to FY2023-24 in percentage terms?,"Approximately +2.6% (₹10,00,122 vs ₹9,74,864).",Comparison FY23→FY24,https://www.ril.com/ar2023-24/index.html
What is the ratio of Digital Services EBITDA to O2C EBITDA in FY2023-24?,"₹56,697 / ₹62,393 ≈ 0.91.",FY2023-24,https://www.ril.com/ar2023-24/index.html
List the five operating segments covered in the FY2023-24 IAR.,"Retail, Digital Services, Media & Entertainment, Oil to Chemicals, Oil & Gas E&P.",FY2023-24,https://www.ril.com/ar2023-24/index.html
What was Jio’s 5G migration number highlighted?,108 million users migrated to 5G network.,FY2023-24,https://www.ril.com/ar2023-24/index.html
What is the reported number of subscribers (EOP) for Jio in FY2023-24?,481.8 million.,FY2023-24,https://www.ril.com/ar2023-24/index.html
Does the FY2022-23 report mention demerger of financial services?,"Yes, it notes the demerger of Jio Financial Services.",FY2022-23,https://www.ril.com/ar2022-23/financial-performance-and-review.html
